Name,posX,posY,posZ,minAABBx,minAABBy,minAABBz,maxAABBx,maxAABBy,maxAABBz,scaleX,scaleY,scaleZ,rotateAngle
reference,0,0,0,-1,-0,-1,1,1,1,1,1,1,0
lightball,0,20,0,-1,-0,-1,1,1,1,1,1,1,0
House_Hi,26.7621,-10,76.4505,-1,-0,-1,1,1,1,1,1,1,0
Tree_Hi,-222.284,-10,-125.609,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,-212.49,-10,-199.819,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,-171.524,-10,-229.659,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,-83.9875,-10,-203.358,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,-10.8712,-10,-220.903,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,70.1368,-10,-254.026,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,131.27,-10,-222.719,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,214.457,-10,-146.481,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,164.529,-10,-114.214,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,153.829,-10,-80.9673,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,174.552,-10,-18.3151,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,181.408,-10,41.9972,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,232.35,-10,79.9211,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,262.347,-10,126.671,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,219.033,-10,150.68,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,224.636,-10,194.051,-3,-0,-3,3,3,3,3,3,3,90
Tree_Hi,262.968,-10,237.635,-3,-0,-3,3,3,3,3,3,3,180
Tree_Hi,233.305,-10,280.668,-3,-0,-3,3,3,3,3,3,3,270
Tree_Hi,195.432,-10,315.849,-3,-0,-3,3,3,3,3,3,3,90
Tree_Hi,141.084,-10,305.42,-3,-0,-3,3,3,3,3,3,3,180
Tree_Hi,92.3797,-10,318.274,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,91.8971,-10,372.932,-3,-0,-3,3,3,3,3,3,3,90
Tree_Hi,47.539,-10,386.147,-3,-0,-3,3,3,3,3,3,3,180
Tree_Hi,9.18727,-10,366.956,-3,-0,-3,3,3,3,3,3,3,270
Tree_Hi,31.9232,-10,364.213,-3,-0,-3,3,3,3,3,3,3,270
Tree_Hi,-7.50418,-10,345.565,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,-53.4654,-10,312.206,-3,-0,-3,3,3,3,3,3,3,90
Tree_Hi,-109.86,-10,329.734,-3,-0,-3,3,3,3,3,3,3,180
Tree_Hi,-135.614,-10,292.811,-3,-0,-3,3,3,3,3,3,3,270
Tree_Hi,-155.347,-10,247.626,-3,-0,-3,3,3,3,3,3,3,270
Tree_Hi,-174.022,-10,291.842,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,-204.726,-10,243.938,-3,-0,-3,3,3,3,3,3,3,90
Tree_Hi,-232.682,-10,221.379,-3,-0,-3,3,3,3,3,3,3,270
Tree_Hi,-225.52,-10,185.076,-3,-0,-3,3,3,3,3,3,3,90
Tree_Hi,-269.069,-10,135.581,-3,-0,-3,3,3,3,3,3,3,270
